embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2494.956364329268
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2495.3991133527056
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2495.9101592273246
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2497.3451314786585
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2501.743625547828
0.0,False,False,False,8,16,4,4,0.2,,relu,"[171,100,50]",relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2504.1078476324315
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2504.432227157965
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2507.0023491091843
0.0,False,False,False,8,16,4,4,0.2,,relu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2507.9444639624617
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2511.0460473037347
0.0,False,False,False,8,64,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2512.7994265672637
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2513.022285275343
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2513.2923316025153
0.0,False,False,False,8,64,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2514.275390625
0.0,False,False,False,8,64,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2514.531619188262
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2516.168180140053
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2516.398916849276
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2516.6398181450077
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2517.865392173209
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,2521.1315679782774
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.0005,128,0.0,Adam,CyclicLR,0.0005,0.01,25,10000.0,5.0,2525.532637433308
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,2529.3397335889863
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2531.273648890053
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2539.797803925305
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2546.73842713891
0.0,False,True,False,8,16,4,4,0.1,,gelu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2547.835038347942
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2549.2145102896343
0.0,False,False,False,8,64,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2551.359982374238
0.0,False,False,False,8,16,4,4,0.1,,gelu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2558.0541158536585
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2562.9062648866234
0.0,False,True,False,8,16,4,4,0.1,,gelu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2568.452088891006
0.0,False,True,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2573.098406535823
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2577.0325808641387
0.0,False,False,False,8,16,4,4,0.2,,gelu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2588.8682920874617
