n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
5,32,32,True,64,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.41543752551078794
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0004,512,0.0,0.0001,Adam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.420370704597897
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.42171256244182587
7,16,16,True,64,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.4222348431746165
7,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.4235963556501601
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0004,512,0.0,0.0001,AdamW,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.42707837952507866
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0004,128,0.0,0.0001,RAdam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.4377676753534211
7,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,1e-05,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.4384281229641702
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0004,128,0.0,0.0001,RAdam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.44069548282358384
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.4475087970495224
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0004,512,0.0,0.0001,Adam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.45063948300149703
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.4698638468980789
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0004,512,0.0,0.0001,AdamW,OneCycleLR,0.001,0.1,25,1000.0,5.0,0.47472791208161247
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0004,512,0.0,0.0001,Adam,OneCycleLR,0.001,0.1,25,1000.0,5.0,0.49713394708103603
5,16,16,True,64,0.98,1.5,0.0,0.0,0.05,4096,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.5383382439613342
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0004,128,0.0,0.0001,RAdam,OneCycleLR,0.001,0.1,25,1000.0,5.0,0.618736606505182
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.8573639982308713
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.8611233967271119
5,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.8673153471915082
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.8686421937195931
